Tam. img.: (910, 2380)
(533, 109)
(533, 110)
(533, 111)
(533, 112)
(533, 113)
(533, 114)
(533, 115)
(533, 116)
(533, 117)
(533, 118)
(533, 119)
(533, 120)
(533, 121)
(533, 122)
(533, 123)
(533, 124)
(533, 125)
(533, 126)
(533, 127)
(533, 128)
(533, 129)
(533, 130)
(533, 131)
(533, 132)
(533, 133)
(533, 134)
(533, 135)
(533, 136)
(533, 137)
(533, 138)
(533, 139)
(533, 140)
(533, 141)
(533, 142)
(533, 143)
(533, 144)
(532, 145)
(532, 146)
(532, 147)
(532, 148)
(532, 149)
(532, 150)
(532, 151)
(532, 152)
(532, 153)
(532, 154)
(532, 155)
(532, 156)
(532, 157)
(532, 158)
(532, 159)
(532, 160)
(532, 161)
(532, 162)
(532, 163)
(532, 164)
(532, 165)
(532, 166)
(532, 167)
(532, 168)
(532, 169)
(532, 170)
(532, 171)
(531, 172)
(531, 173)
(531, 174)
(531, 175)
(531, 176)
(531, 177)
(531, 178)
(531, 179)
(531, 180)
(531, 181)
(531, 182)
(531, 183)
(531, 184)
(531, 185)
(531, 186)
(531, 187)
(531, 188)
(531, 189)
(531, 190)
(531, 191)
(530, 192)
(530, 193)
(530, 194)
(530, 195)
(530, 196)
(530, 197)
(530, 198)
(530, 199)
(533, 201)
(530, 202)
(530, 203)
(530, 204)
(530, 205)
(530, 206)
(530, 207)
(530, 208)
(530, 209)
(529, 210)
(529, 211)
(529, 212)
(529, 213)
(529, 214)
(529, 215)
(529, 216)
(529, 217)
(529, 218)
(529, 219)
(529, 220)
(529, 221)
(529, 222)
(529, 223)
(529, 224)
(529, 225)
(529, 226)
(529, 227)
(529, 228)
(529, 229)
(529, 230)
(529, 231)
(529, 232)
(529, 233)
(529, 234)
(529, 235)
(529, 236)
(529, 237)
(528, 238)
(528, 239)
(528, 240)
(528, 241)
(528, 242)
(528, 243)
(528, 244)
(528, 245)
(528, 246)
(528, 247)
(528, 248)
(528, 249)
(528, 250)
(528, 251)
(528, 252)
(528, 253)
(528, 254)
(527, 255)
(527, 256)
(527, 257)
(527, 258)
(527, 259)
(527, 260)
(527, 261)
(527, 262)
(527, 263)
(527, 264)
(527, 265)
(527, 266)
(527, 267)
(527, 268)
(527, 269)
(527, 270)
(527, 271)
(527, 272)
(527, 273)
(527, 274)
(527, 275)
(527, 276)
(527, 277)
(527, 278)
(527, 279)
(527, 280)
(527, 281)
(526, 282)
(526, 283)
(526, 284)
(526, 285)
(526, 286)
(526, 287)
(526, 288)
(526, 289)
(526, 290)
(526, 291)
(527, 292)
(529, 293)
(527, 295)
(526, 296)
(526, 297)
